"","clone","median","pval","logi_test","referencia","PC"
"1","606P",1.31661993903217,1,"two.sided",43,"Dim.1"
"2","607P",1.96318381158242,1,"two.sided",43,"Dim.1"
"3","F606-1",1.29130907149449,0.209800556305758,"less",43,"Dim.1"
"4","F606-2",1.42529769030235,0.352734077816808,"greater",43,"Dim.1"
"5","F606-3",0.832934491175242,0.00194097844126901,"less",43,"Dim.1"
"6","F606-4",1.54427730332497,0.16979371983917,"greater",43,"Dim.1"
"7","F607-1",1.30111964777813,0.0245876855859956,"less",43,"Dim.1"
"8","F607-2",0.913694480314016,0.0110358049457239,"less",43,"Dim.1"
"9","F607-3",1.10513421259517,0.0205951158003073,"less",43,"Dim.1"
"10","F607-4",1.20918487805348,0.0174536442334094,"less",43,"Dim.1"
"11","R606-1",1.39995594331623,0.550821575534357,"greater",43,"Dim.1"
"12","R606-2",1.32035927442869,0.526333061328299,"greater",43,"Dim.1"
"13","R606-3",1.22636929321592,0.199337999965298,"less",43,"Dim.1"
"14","R606-4",1.85751693652093,0.00859986254139623,"greater",43,"Dim.1"
"15","R607-1",1.33099699203054,0.0176433271135511,"less",43,"Dim.1"
"16","R607-2",0.908017647206575,0.0182870257211316,"less",43,"Dim.1"
"17","R607-3",0.914283281111635,0.00323767965954489,"less",43,"Dim.1"
"18","R607-4",0.889195467922703,0.00440388477254605,"less",43,"Dim.1"
"19","S606-1",1.42213889206499,0.394750575029131,"greater",43,"Dim.1"
"20","S606-2",1.68828663129941,0.117013579370055,"greater",43,"Dim.1"
"21","S606-3",0.792014439581678,0.00514078626478845,"less",43,"Dim.1"
"22","S606-4",1.62058451496123,0.102704037871923,"greater",43,"Dim.1"
"23","S607-1",1.53589820166871,0.101362988677807,"less",43,"Dim.1"
"24","S607-2",1.22878879972992,0.0577295872689391,"less",43,"Dim.1"
"25","S607-3",1.00911051032158,0.00867040709595569,"less",43,"Dim.1"
"26","S607-4",0.948427107721334,0.00400410565621907,"less",43,"Dim.1"
"27","606P",-0.476947065584949,1,"two.sided",43,"Dim.2"
"28","607P",-1.46869984854837,1,"two.sided",43,"Dim.2"
"29","F606-1",-0.0298966213739072,0.0341015002786709,"greater",43,"Dim.2"
"30","F606-2",0.946589552665937,0.000593333505376791,"greater",43,"Dim.2"
"31","F606-3",1.08680385151717,0.000181920406844873,"greater",43,"Dim.2"
"32","F606-4",-0.319119134539873,0.401161435155778,"greater",43,"Dim.2"
"33","F607-1",-0.652769098114752,0.0313677295490983,"greater",43,"Dim.2"
"34","F607-2",-0.685944290235467,0.0169211420204089,"greater",43,"Dim.2"
"35","F607-3",-1.23765809847003,0.440654532144579,"greater",43,"Dim.2"
"36","F607-4",-0.810501824883114,0.0274649297277393,"greater",43,"Dim.2"
"37","R606-1",-0.17746195116985,0.0919343825754399,"greater",43,"Dim.2"
"38","R606-2",-0.924358734074789,0.0395235601792413,"less",43,"Dim.2"
"39","R606-3",0.00950731873389685,0.0784422496357901,"greater",43,"Dim.2"
"40","R606-4",0.922627459454637,0.00836015766991247,"greater",43,"Dim.2"
"41","R607-1",-0.998084964102613,0.0803075588326938,"greater",43,"Dim.2"
"42","R607-2",-0.594097254032036,0.0649765668967162,"greater",43,"Dim.2"
"43","R607-3",-0.936669220886856,0.184289744351663,"greater",43,"Dim.2"
"44","R607-4",-1.04874423471634,0.119897011986521,"greater",43,"Dim.2"
"45","S606-1",-0.180550033686453,0.333363988360943,"greater",43,"Dim.2"
"46","S606-2",-0.523460123706513,0.503902404707664,"less",43,"Dim.2"
"47","S606-3",0.118265647785563,0.0119083387869099,"greater",43,"Dim.2"
"48","S606-4",0.642762273428794,0.000889234466050684,"greater",43,"Dim.2"
"49","S607-1",-0.0513439817150846,0.0027840472668343,"greater",43,"Dim.2"
"50","S607-2",-0.676339150378921,0.0153781653095968,"greater",43,"Dim.2"
"51","S607-3",-0.0318594761247841,0.00215046890508692,"greater",43,"Dim.2"
"52","S607-4",-0.0221544445339962,0.00137716061023202,"greater",43,"Dim.2"
"53","606P",0.726979329594637,1,"two.sided",43,"Dim.3"
"54","607P",-0.363449834435806,1,"two.sided",43,"Dim.3"
"55","F606-1",0.822053911019357,0.36308453877941,"greater",43,"Dim.3"
"56","F606-2",1.39026942925532,0.00129030352454974,"greater",43,"Dim.3"
"57","F606-3",0.755386336578922,0.306931868550863,"greater",43,"Dim.3"
"58","F606-4",0.000911346487669173,0.00441437369491072,"less",43,"Dim.3"
"59","F607-1",0.308160930718589,0.0201137474314879,"greater",43,"Dim.3"
"60","F607-2",0.126328888268681,0.165035501394239,"greater",43,"Dim.3"
"61","F607-3",-0.310963440077541,0.654747216730773,"greater",43,"Dim.3"
"62","F607-4",-0.0513206775632051,0.293648872166083,"greater",43,"Dim.3"
"63","R606-1",0.529378333894196,0.182604929250933,"less",43,"Dim.3"
"64","R606-2",0.0803759718655098,0.0314709739854978,"less",43,"Dim.3"
