"","clone","median","pval","logi_test","referencia","PC"
"65","R606-3",0.655614561836454,0.445777041490821,"less",43,"Dim.3"
"66","R606-4",0.664442529979453,0.337677299729915,"less",43,"Dim.3"
"67","R607-1",-0.251631249993663,0.533870790996421,"greater",43,"Dim.3"
"68","R607-2",0.327594117643341,0.0910250520187822,"greater",43,"Dim.3"
"69","R607-3",0.102477670576411,0.358312424579948,"greater",43,"Dim.3"
"70","R607-4",0.154723136198269,0.0600083188233857,"greater",43,"Dim.3"
"71","S606-1",0.588013963384148,0.349011602747288,"less",43,"Dim.3"
"72","S606-2",0.0290020942136146,0.0647228126065334,"less",43,"Dim.3"
"73","S606-3",0.819316994544703,0.290137084590362,"greater",43,"Dim.3"
"74","S606-4",1.03568651129798,0.167037915686566,"greater",43,"Dim.3"
"75","S607-1",0.199073905111968,0.0409314396301818,"greater",43,"Dim.3"
"76","S607-2",-0.45652739375718,0.462121043900773,"less",43,"Dim.3"
"77","S607-3",0.69219041058344,0.00248744147664147,"greater",43,"Dim.3"
"78","S607-4",0.855909590408994,0.00165039573185434,"greater",43,"Dim.3"
"79","606P",0.0125931391255515,1,"two.sided",43,"Dim.4"
"80","607P",0.542144873400982,1,"two.sided",43,"Dim.4"
"81","F606-1",-0.408418853773088,0.0463841526395328,"less",43,"Dim.4"
"82","F606-2",0.336657637056127,0.00434737574599905,"greater",43,"Dim.4"
"83","F606-3",0.480996110992181,0.0837668800529865,"greater",43,"Dim.4"
"84","F606-4",-0.214668824038687,0.393019704234474,"less",43,"Dim.4"
"85","F607-1",-0.35602387218007,0.0377343185144083,"less",43,"Dim.4"
"86","F607-2",-0.263779321803174,0.0628410981310498,"less",43,"Dim.4"
"87","F607-3",0.028343516170135,0.0170528414699733,"less",43,"Dim.4"
"88","F607-4",-0.287772414487504,0.106227383955145,"less",43,"Dim.4"
"89","R606-1",-0.531734033223969,0.00542352857182141,"less",43,"Dim.4"
"90","R606-2",0.723049666249398,0.000106330805376158,"greater",43,"Dim.4"
"91","R606-3",0.0724042237028245,0.264214816953609,"greater",43,"Dim.4"
"92","R606-4",0.116761718026605,0.0350432142957316,"greater",43,"Dim.4"
"93","R607-1",-0.0623544777713748,0.00909505317874971,"less",43,"Dim.4"
"94","R607-2",0.437259455819588,0.227962669485662,"less",43,"Dim.4"
"95","R607-3",0.257603586056755,0.086253468401781,"less",43,"Dim.4"
"96","R607-4",0.011335829592552,0.0416720990852405,"less",43,"Dim.4"
"97","S606-1",0.284607923251262,0.141786646432534,"greater",43,"Dim.4"
"98","S606-2",0.0308280247376831,0.557374287377394,"greater",43,"Dim.4"
"99","S606-3",-0.469523550727063,0.0586348568530326,"less",43,"Dim.4"
"100","S606-4",0.168126716498531,0.069006928007579,"greater",43,"Dim.4"
"101","S607-1",-0.521990432023579,0.0118715808747436,"less",43,"Dim.4"
"102","S607-2",-0.305421724910519,0.0180052370101851,"less",43,"Dim.4"
"103","S607-3",-0.229920792381446,0.00589226979944626,"less",43,"Dim.4"
"104","S607-4",-0.0828399156084154,0.010002554074436,"less",43,"Dim.4"
