Nickname,Name,Strain,Treatment,Condition,Well2,Well3,Well4,Well5,Well6,Well7,Well8,Well9,Well10,Well11,Well12,Well13,Well14,Well15,Well16,Well17,Well18,Well19,Well20,Well21,Well22,Well23,Well24,Well25,Well26,Well27,Well28,Well29,Well30,Well31,Well32,Well33,Well34,Well35,Well36,Well37,Well38,Well39,Well40,Well41,Well42,Well43,Well44,Well45,Well46,Well47,Well48,Well49,Well50,Well51,Well52,Well53,Well54,Well55,Well56,Well57,Well58,Well59,Well60,Well61,Well62,Well63,Well64,Well65,Well66,Well67,Well68,Well69,Well70,Well71,Well72,Well74,Well75,Well76,Well77,Well78,Well79,Well80,Well81,Well82,Well83,Well84,Well85,Well87,Well88,Well89,Well90,Well91,Well92,Well93,Well95,Well96
X606P.15.1,606P,606,Ancestor,15,-0.129690476,0.057384921,0.009833333,-0.00377381,-0.019376984,-0.128813492,-0.035003968,-0.19215873,0.006678571,0.036964286,0.092075397,-0.215900794,-0.13190873,-0.184543651,-0.006734127,0.115075397,-0.109984127,-0.002547619,0.018174603,-0.308638889,-0.090027778,-0.168174603,-0.208496032,0.061936508,-0.269702381,-0.036686508,0.020674603,-0.061440476,-0.2045,-0.353123016,-0.041654762,-0.028797619,0.003210317,-0.017337302,-0.219753968,-0.361916667,-0.224861111,-0.01647619,-0.091162698,-0.001055556,-0.068845238,-0.011373016,-0.371238095,-0.511984127,-0.319380952,-0.219269841,-0.163992063,0.002269841,-0.386003968,0.02402381,-0.555444444,-0.04102381,-0.289444444,-0.129797619,-0.258789683,-0.042190476,-0.102337302,-0.172178571,0.000944444,-0.015984127,-0.014396825,-0.422420635,-0.320539683,0.001892857,-0.198269841,-0.276746032,-0.257940476,-0.367083333,-0.435436508,-0.128555556,-0.007670635,0.059884921,-0.005365079,0.19622619,-0.187865079,0.28018254,-0.299325397,-0.466206349,0.074210317,0.232412698,0.001186508,0.13822619,0.32284127,0.19268254,0.326388889,-0.296079365,-0.199702381,-0.198313492,-0.357579365,0.048607143,-0.308301587,-0.579654762
X606P.15.2,606P,606,Ancestor,15,-0.117690476,0.050384921,0.049833333,0.00522619,-0.028376984,-0.093813492,-0.006003968,-0.29315873,0.012678571,0.028964286,0.066075397,-0.178900794,-0.07490873,-0.145543651,0.028265873,0.098075397,-0.047984127,-0.001547619,0.020174603,-0.308638889,-0.084027778,-0.138174603,-0.185496032,-0.022063492,-0.254702381,-0.074686508,0.028674603,-0.043440476,-0.1605,-0.286123016,-0.029654762,-0.009797619,0.010210317,-0.012337302,-0.207753968,-0.349916667,-0.089861111,-0.00047619,-0.067162698,0.008944444,-0.108845238,-0.001373016,-0.296238095,-0.534984127,-0.297380952,-0.198269841,-0.146992063,0.016269841,-0.372003968,0.02402381,-0.513444444,-0.02202381,-0.196444444,-0.109797619,-0.197789683,-0.030190476,-0.095337302,-0.162178571,0.006944444,1.59E-05,0.000603175,-0.391420635,-0.298539683,0.010892857,-0.164269841,-0.219746032,-0.210940476,-0.319083333,-0.417436508,-0.115555556,0.011329365,0.091884921,-0.058365079,0.21822619,-0.155865079,0.33918254,-0.244325397,-0.344206349,0.101210317,0.238412698,0.063186508,0.15522619,0.37984127,0.22268254,0.333388889,-0.263079365,-0.146702381,-0.170313492,-0.301579365,0.048607143,-0.264301587,-0.532654762
X606P.15.3,606P,606,Ancestor,15,-0.127690476,0.055384921,0.021833333,-0.00677381,-0.011376984,-0.140813492,-0.038003968,-0.17115873,0.021678571,0.049964286,0.100075397,-0.284900794,-0.22790873,-0.234543651,0.003265873,0.039075397,-0.210984127,-0.091547619,0.021174603,-0.361638889,-0.132027778,-0.168174603,-0.255496032,0.038936508,-0.271702381,-0.033686508,0.020674603,-0.066440476,-0.3495,-0.478123016,-0.048654762,-0.020797619,0.010210317,-0.005337302,-0.304753968,-0.367916667,-0.451861111,-0.02247619,-0.147162698,0.001944444,-0.056845238,-0.006373016,-0.466238095,-0.531984127,-0.316380952,-0.224269841,-0.141992063,0.013269841,-0.384003968,0.03002381,-0.571444444,-0.02602381,-0.466444444,-0.138797619,-0.304789683,-0.031190476,-0.183337302,-0.233178571,-0.006055556,-0.023984127,-0.015396825,-0.415420635,-0.406539683,0.002892857,-0.310269841,-0.359746032,-0.348940476,-0.452083333,-0.439436508,-0.133555556,-0.003670635,0.077884921,-0.007365079,0.20422619,-0.182865079,0.20418254,-0.417325397,-0.523206349,0.030210317,0.199412698,-0.091813492,0.18222619,0.22684127,0.20868254,0.235388889,-0.383079365,-0.299702381,-0.187313492,-0.454579365,0.044607143,-0.415301587,-0.575654762
X606P2.15.1,606P,606,Ancestor,15,-0.169690476,0.013384921,-0.031166667,-0.02777381,-0.045376984,-0.181813492,-0.059003968,-0.22915873,0.001678571,-0.003035714,0.027075397,-0.393900794,-0.20290873,-0.366543651,-0.058734127,0.023075397,-0.157984127,-0.135547619,-0.016825397,-0.398638889,-0.202027778,-0.184174603,-0.245496032,0.000936508,-0.310702381,-0.057686508,-0.013325397,-0.088440476,-0.3525,-0.241123016,-0.082654762,-0.045797619,-0.018789683,-0.044337302,-0.326753968,-0.381916667,-0.312861111,-0.04247619,-0.150162698,-0.026055556,-0.137845238,-0.048373016,-0.297238095,-0.594984127,-0.351380952,-0.249269841,-0.233992063,-0.027730159,-0.399003968,-0.00597619,-0.525444444,-0.03602381,-0.339444444,-0.143797619,-0.303789683,-0.068190476,-0.157337302,-0.209178571,-0.003055556,-0.041984127,-0.020396825,-0.425420635,-0.420539683,-0.020107143,-0.228269841,-0.176746032,-0.308940476,-0.407083333,-0.440436508,-0.137555556,-0.010670635,-0.105115079,-0.071365079,0.02622619,-0.398865079,0.28618254,-0.271325397,-0.308206349,-0.233789683,-0.068587302,0.032186508,-0.04577381,0.00384127,0.06568254,0.294388889,-0.187079365,-0.316702381,-0.207313492,-0.324579365,-0.158392857,-0.280301587,-0.578654762
X606P2.15.2,606P,606,Ancestor,15,-0.165690476,-0.008615079,-0.032166667,-0.03377381,-0.051376984,-0.188813492,-0.076003968,-0.23415873,-0.007321429,-0.057035714,0.037075397,-0.399900794,-0.28390873,-0.411543651,-0.062734127,0.027075397,-0.112984127,-0.125547619,-0.028825397,-0.426638889,-0.213027778,-0.214174603,-0.314496032,-0.047063492,-0.312702381,-0.077686508,-0.036325397,-0.096440476,-0.3485,-0.352123016,-0.107654762,-0.058797619,-0.034789683,-0.057337302,-0.299753968,-0.394916667,-0.270861111,-0.06047619,-0.162162698,-0.026055556,-0.195845238,-0.088373016,-0.392238095,-0.602984127,-0.352380952,-0.228269841,-0.214992063,-0.024730159,-0.410003968,-0.01497619,-0.542444444,-0.05802381,-0.270444444,-0.157797619,-0.283789683,-0.053190476,-0.146337302,-0.226178571,-0.029055556,-0.053984127,-0.034396825,-0.419420635,-0.322539683,-0.033107143,-0.226269841,-0.238746032,-0.323940476,-0.450083333,-0.458436508,-0.165555556,-0.031670635,0.125884921,0.025634921,0.19022619,-0.187865079,0.34518254,-0.180325397,-0.355206349,-0.011789683,0.012412698,0.135186508,0.01522619,-0.09715873,0.18068254,0.379388889,-0.074079365,-0.200702381,-0.145313492,-0.237579365,-0.200392857,-0.193301587,-0.459654762
X606P2.15.3,606P,606,Ancestor,15,-0.148690476,-0.031615079,-0.057166667,-0.01477381,-0.038376984,-0.185813492,-0.044003968,-0.20915873,0.023678571,-0.051035714,0.023075397,-0.331900794,-0.19890873,-0.342543651,-0.034734127,0.026075397,-0.104984127,-0.001547619,0.024174603,-0.385638889,-0.120027778,-0.175174603,-0.288496032,-0.039063492,-0.212702381,-0.076686508,-0.002325397,-0.066440476,-0.3275,-0.328123016,-0.069654762,-0.031797619,0.004210317,-0.034337302,-0.236753968,-0.361916667,-0.203861111,-0.03547619,-0.123162698,0.018944444,-0.163845238,-0.035373016,-0.392238095,-0.577984127,-0.321380952,-0.207269841,-0.198992063,-0.000730159,-0.391003968,0.00202381,-0.464444444,-0.02502381,-0.133444444,-0.127797619,-0.245789683,-0.042190476,-0.038337302,-0.198178571,0.007944444,-0.028984127,0.011603175,-0.391420635,-0.322539683,0.000892857,-0.201269841,-0.191746032,-0.288940476,-0.399083333,-0.420436508,-0.113555556,0.016329365,0.125884921,0.061634921,0.21922619,-0.169865079,0.48418254,-0.073325397,-0.171206349,0.060210317,0.049412698,0.241186508,0.16522619,0.27284127,0.26868254,0.505388889,0.045920635,-0.117702381,-0.073313492,-0.132579365,-0.015392857,-0.075301587,-0.351654762
X606P2.43.1,606P,606,Ancestor,43,-0.047690476,0.048384921,0.178833333,0.04422619,-0.010376984,-0.239813492,0.019996032,0.29584127,0.035678571,-0.009035714,0.044075397,0.195099206,0.01409127,0.145456349,-0.040734127,0.080075397,0.117015873,-0.026547619,0.005174603,0.072361111,0.057972222,0.001825397,-0.177496032,0.102936508,0.172297619,-0.006686508,0.038674603,0.004559524,0.0205,0.181876984,-0.070654762,0.025202381,0.009210317,-0.003337302,0.133246032,0.318083333,-0.006861111,0.02552381,-0.231162698,-0.042055556,-0.013845238,-0.047373016,0.089761905,0.214015873,0.400619048,0.506730159,0.048007937,0.006269841,0.391996032,0.00602381,0.121555556,0.00597619,0.050555556,0.132202381,-0.388789683,0.069809524,0.075662698,0.158821429,0.003944444,0.034015873,0.040603175,0.250579365,0.108460317,0.035892857,0.102730159,0.069253968,0.026059524,0.064916667,0.250563492,0.227444444,0.005329365,0.074384921,0.209134921,-0.04827381,0.172634921,-0.14431746,-0.355825397,0.377293651,-0.041289683,0.196912698,-0.576313492,0.07072619,-0.11565873,0.02118254,-0.123111111,0.261420635,0.126797619,0.126186508,-0.206079365,-0.042892857,-0.370801587,0.110845238
X606P2.43.2,606P,606,Ancestor,43,-0.038690476,0.049384921,0.153833333,0.06922619,0.011623016,-0.204813492,0.003996032,0.26384127,0.008678571,-0.052035714,0.017075397,0.206099206,-0.00690873,0.102456349,-0.020734127,0.049075397,0.105015873,-0.052547619,0.011174603,0.077361111,0.062972222,-0.006174603,-0.108496032,0.114936508,0.153297619,-0.035686508,0.028674603,-0.001440476,-0.0685,0.138876984,-0.059654762,0.026202381,0.018210317,-0.006337302,0.170246032,0.275083333,-0.034861111,0.01952381,-0.215162698,-0.029055556,-0.040845238,-0.039373016,0.075761905,0.178015873,0.366619048,0.455730159,0.032007937,0.028269841,0.367996032,0.01202381,0.108555556,0.00497619,0.029555556,0.189202381,-0.351789683,0.076809524,0.071662698,0.208821429,0.014944444,0.039015873,0.050603175,0.232579365,0.197460317,0.054892857,0.121730159,0.065253968,5.95E-05,0.056916667,0.302563492,0.374444444,0.020329365,0.098884921,0.077634921,-0.03977381,0.150134921,-0.45581746,-0.305325397,0.294793651,-0.164789683,0.145412698,-0.428813492,-0.03277381,-0.11915873,0.05568254,-0.216611111,0.331920635,0.139297619,0.253686508,-0.177579365,-0.003392857,-0.186301587,0.100345238
X606P2.43.3,606P,606,Ancestor,43,-0.007690476,0.066384921,0.179833333,0.05322619,-0.016376984,-0.205813492,0.001996032,0.30284127,0.021678571,-0.045035714,0.075075397,0.231099206,-0.02290873,0.103456349,-0.032734127,0.035075397,0.096015873,-0.010547619,0.009174603,0.116361111,0.100972222,0.008825397,-0.135496032,0.104936508,0.140297619,0.012313492,0.043674603,0.006559524,-0.0345,0.235876984,-0.049654762,0.020202381,0.008210317,0.016662698,0.173246032,0.298083333,-0.017861111,0.03552381,-0.195162698,-0.026055556,0.014154762,-0.032373016,0.101761905,0.265015873,0.350619048,0.581730159,-0.120992063,0.005269841,0.394996032,0.02302381,0.113555556,0.18797619,0.044555556,0.142202381,-0.367789683,0.072809524,0.060662698,0.151821429,0.035944444,0.052015873,0.037603175,0.212579365,0.044460317,0.032892857,0.110730159,0.088253968,0.008059524,0.062916667,0.329563492,0.439444444,-0.009670635,-0.164115079,-0.395365079,-0.14177381,0.130134921,-0.41381746,-0.564325397,0.310793651,-0.006789683,0.066412698,-0.559813492,-0.20277381,-0.04615873,0.02068254,-0.292611111,0.301920635,0.073297619,0.085686508,-0.256579365,-0.190392857,-0.191301587,0.075345238
X606P3.37.1,606P,606,Ancestor,37,0.012309524,-0.075615079,-0.112166667,-0.00577381,-0.042376984,0.173186508,-0.032003968,-0.05615873,-0.096321429,-0.171035714,-0.117924603,0.028099206,0.04009127,0.090456349,-0.055734127,-0.068924603,-0.133984127,-0.135547619,-0.015825397,0.037361111,0.055972222,-0.008174603,0.001503968,-0.083063492,-0.168702381,-0.117686508,-0.024325397,-0.068440476,0.0185,0.026876984,-0.082654762,-0.032797619,-0.028789683,-0.009337302,0.022246032,-0.070916667,0.006138889,-0.03947619,0.115837302,-0.013055556,-0.058845238,0.032626984,0.120761905,-0.071984127,-0.149380952,-0.218269841,0.052007937,-0.080730159,-0.198003968,-0.01797619,0.158555556,-0.03702381,-0.019444444,-0.081797619,0.095210317,-0.024190476,-0.037337302,-0.186178571,-0.019055556,-0.038984127,-0.026396825,0.080579365,0.075460317,-0.015107143,-0.053269841,-0.130746032,0.020059524,0.047916667,-0.416436508,-0.111555556,0.013329365,0.055884921,0.079634921,-0.13177381,0.116134921,0.04318254,0.173674603,0.067793651,0.112210317,-0.042587302,0.126186508,-0.01577381,-0.06615873,-0.00231746,-0.160611111,-0.184079365,0.072297619,-0.233313492,0.102420635,-0.108392857,0.156698413,0.095345238
