"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"606P-15","Ancestor15","X606P.15.1","606P",606,"Ancestor",15,"Other",-1.95061071089572,-0.633769164912414,-0.768810781255624,0.904633157225486,-0.210341795081002
"606P-15-1","Ancestor15","X606P.15.2","606P",606,"Ancestor",15,"Other",-1.77664923165827,-0.518286672362865,-0.505299908850889,0.806772251962986,-0.108957137386333
"606P-15-2","Ancestor15","X606P.15.3","606P",606,"Ancestor",15,"Other",-2.20268888833626,-0.849173333458172,-1.16629912095276,1.15479291419693,-0.532130458531943
"606P-15-3","Ancestor15","X606P2.15.1","606P",606,"Ancestor",15,"Other",-2.20595315663581,-0.587030459445054,-1.121907141297,0.67641950001083,-0.226146866860441
"606P-15-4","Ancestor15","X606P2.15.2","606P",606,"Ancestor",15,"Other",-2.3491852120771,-0.635442726638237,-0.767312629944205,0.52712990825664,-0.219178752037759
"606P-15-5","Ancestor15","X606P2.15.3","606P",606,"Ancestor",15,"Other",-2.04210957142004,-0.623741349197362,-0.181459226463735,0.508839562226145,-0.152932534151691
"606P-43","Ancestor43","X606P2.43.1","606P",606,"Ancestor",43,"Other",1.24359429836303,-0.988061391046966,-0.382805030649234,0.0484410806109449,0.020707309930092
"606P-43-1","Ancestor43","X606P2.43.2","606P",606,"Ancestor",43,"Other",1.24725013379271,-0.881118452425593,-0.326444424138273,-0.128979960410772,0.0437583944758332
"606P-43-2","Ancestor43","X606P2.43.3","606P",606,"Ancestor",43,"Other",1.40043251947044,-0.98056048180017,-0.78537688307323,-0.0764628225770321,0.0891641869362991
"606P-37","Ancestor37","X606P3.37.1","606P",606,"Ancestor",37,"Other",-0.190729693216687,0.717609058699863,0.0516997777673634,-0.17324227188743,-0.159131073767707
"606P-37-1","Ancestor37","X606P3.37.2","606P",606,"Ancestor",37,"Other",-0.106482326267698,0.789701911158023,-0.0343418516559023,-0.118090613376027,-0.0218259094997343
"606P-37-2","Ancestor37","X606P3.37.3","606P",606,"Ancestor",37,"Other",0.0655449937356351,0.83043984846107,0.143401836197081,-0.0745875107995902,0.0529582523029892
"606P-43-3","Ancestor43","X606P3.43.1","606P",606,"Ancestor",43,"Other",1.26993535608041,-0.817332341740913,0.516526968068369,-0.301814379702684,-0.291813533928683
"606P-43-4","Ancestor43","X606P3.43.2","606P",606,"Ancestor",43,"Other",1.45234067313302,-0.827239716121618,-0.0587931443390287,-0.145610030236508,-0.116717631523523
"606P-43-5","Ancestor43","X606P3.43.3","606P",606,"Ancestor",43,"Other",1.81250202573467,-0.693260160246019,-1.14306433083144,-0.368648569695572,-0.291982834517402
"606P-37-3","Ancestor37","X606P.37.1","606P",606,"Ancestor",37,"Other",0.46277457293615,0.768509810366089,-0.145151460049875,0.140350359204466,-0.0106188463894275
"606P-37-4","Ancestor37","X606P.37.2","606P",606,"Ancestor",37,"Other",0.388429782261439,0.78980401325714,0.16330117692698,0.237984992333354,-0.0127722764160468
"606P-37-5","Ancestor37","X606P.37.3","606P",606,"Ancestor",37,"Other",0.522492690024385,0.635810114804261,0.0565689816401034,0.136489866366334,-0.0731428991374637
"S606-2-15","Slow15","Baelish.15.1","S606-2",606,"Slow",15,"Specialist",-1.78867191069815,-0.62912490432881,0.528179872236162,0.0123983349717054,-0.0605565954220759
"S606-2-15-1","Slow15","Baelish.15.2","S606-2",606,"Slow",15,"Specialist",-2.01292627608573,-0.644091180969101,-0.127688687699127,-0.00861604664021449,-0.191352162457637
"S606-2-15-2","Slow15","Baelish.15.3","S606-2",606,"Slow",15,"Specialist",-1.85542548278225,-0.714831481152535,0.323842779928249,-0.0683583599857807,-0.124433207098185
"S606-2-37","Slow37","Baelish.37.1","S606-2",606,"Slow",37,"Specialist",-0.249095094851281,0.711394116096181,-0.42893073605785,-0.168150999343472,-0.162951531485975
"S606-2-37-1","Slow37","Baelish.37.2","S606-2",606,"Slow",37,"Specialist",-0.278996146450942,0.790754740455612,-0.689554167474361,-0.257848230590898,-0.342736009293712
"S606-2-37-2","Slow37","Baelish.37.3","S606-2",606,"Slow",37,"Specialist",-0.278424369796868,0.715153476945474,-0.529631532196017,-0.224124834676223,-0.22497183451766
"S606-2-43","Slow43","Baelish.43.1","S606-2",606,"Slow",43,"Specialist",1.50250568898403,-0.482261982905065,0.0252822521689454,-0.0639875685142564,0.293328552791688
"S606-2-43-1","Slow43","Baelish.43.2","S606-2",606,"Slow",43,"Specialist",1.71514969382263,-0.406524852172528,-0.879568223166324,-0.019390489541235,0.425592730227622
"S606-2-43-2","Slow43","Baelish.43.3","S606-2",606,"Slow",43,"Specialist",1.51035136327324,-0.487684626792201,-1.22075638622306,-0.308422381247837,-0.0771760141726525
"F606-2-15","Fast15","Dayne.15.1","F606-2",606,"Fast",15,"Specialist",-1.70795941416728,-0.36705785052832,0.156825774307427,-0.166456399170239,-0.0974864474208316
"F606-2-15-1","Fast15","Dayne.15.2","F606-2",606,"Fast",15,"Specialist",-1.64788336431428,-0.545136758291074,0.678795821019228,-0.268561380117941,-0.0285925805700701
"F606-2-15-2","Fast15","Dayne.15.3","F606-2",606,"Fast",15,"Specialist",-1.80853873957998,-0.253126829537769,-0.519859801818195,-0.207008896197253,-0.0193236531582244
"F606-2-37","Fast37","Dayne.37.1","F606-2",606,"Fast",37,"Specialist",0.281157432496985,0.89383677463424,0.249341489356755,0.125325319243142,0.0484509316881648
"F606-2-37-1","Fast37","Dayne.37.2","F606-2",606,"Fast",37,"Specialist",0.195724213453252,0.958257450247047,0.329345191253239,0.107424335343578,-0.0209953410660994
