"","clone","median","pval","logi_test","referencia","PC"
"1","606P",1.31661993903217,1.46785411517658e-05,"greater",37,"Dim.1"
"2","607P",1.96318381158242,0.000540249208899474,"greater",37,"Dim.1"
"3","F606-1",1.29130907149449,0.000122832406878361,"greater",37,"Dim.1"
"4","F606-2",1.42529769030235,3.10557158232421e-05,"greater",37,"Dim.1"
"5","F606-3",0.832934491175242,0.0011098032031988,"greater",37,"Dim.1"
"6","F606-4",1.54427730332497,1.41051983609415e-05,"greater",37,"Dim.1"
"7","F607-1",1.30111964777813,0.000221046713639331,"greater",37,"Dim.1"
"8","F607-2",0.913694480314016,0.0371131477389299,"greater",37,"Dim.1"
"9","F607-3",1.10513421259517,0.0351478130642638,"greater",37,"Dim.1"
"10","F607-4",1.20918487805348,0.0246134634484122,"greater",37,"Dim.1"
"11","R606-1",1.39995594331623,3.25084518207315e-05,"greater",37,"Dim.1"
"12","R606-2",1.32035927442869,3.29589236427824e-05,"greater",37,"Dim.1"
"13","R606-3",1.22636929321592,0.00299327654433759,"greater",37,"Dim.1"
"14","R606-4",1.85751693652093,3.9872766450592e-06,"greater",37,"Dim.1"
"15","R607-1",1.33099699203054,0.00747453092910234,"greater",37,"Dim.1"
"16","R607-2",0.908017647206575,0.062044593469809,"greater",37,"Dim.1"
"17","R607-3",0.914283281111635,0.0101124534428435,"greater",37,"Dim.1"
"18","R607-4",0.889195467922703,0.00534651104565982,"greater",37,"Dim.1"
"19","S606-1",1.42213889206499,0.00134781125004242,"greater",37,"Dim.1"
"20","S606-2",1.68828663129941,4.92956369166425e-05,"greater",37,"Dim.1"
"21","S606-3",0.792014439581678,0.00311161353630515,"greater",37,"Dim.1"
"22","S606-4",1.62058451496123,1.7616711746063e-05,"greater",37,"Dim.1"
"23","S607-1",1.53589820166871,9.72566465939011e-05,"greater",37,"Dim.1"
"24","S607-2",1.22878879972992,0.108533334228624,"greater",37,"Dim.1"
"25","S607-3",1.00911051032158,0.0115199827814245,"greater",37,"Dim.1"
"26","S607-4",0.948427107721334,0.0147143865479404,"greater",37,"Dim.1"
"27","606P",-0.476947065584949,0.00130982019681117,"less",37,"Dim.2"
"28","607P",-1.46869984854837,0.000101268099764449,"less",37,"Dim.2"
"29","F606-1",-0.0298966213739072,0.0065492224661125,"less",37,"Dim.2"
"30","F606-2",0.946589552665937,0.0985913748612505,"greater",37,"Dim.2"
"31","F606-3",1.08680385151717,1.17624310881188e-05,"greater",37,"Dim.2"
"32","F606-4",-0.319119134539873,1.04538983795161e-05,"less",37,"Dim.2"
"33","F607-1",-0.652769098114752,0.00167001706700001,"less",37,"Dim.2"
"34","F607-2",-0.685944290235467,1.944218984117e-05,"less",37,"Dim.2"
"35","F607-3",-1.23765809847003,0.00806087573513476,"less",37,"Dim.2"
"36","F607-4",-0.810501824883114,2.41216770624137e-06,"less",37,"Dim.2"
"37","R606-1",-0.17746195116985,0.0060126541743288,"less",37,"Dim.2"
"38","R606-2",-0.924358734074789,0.00965217266375702,"less",37,"Dim.2"
"39","R606-3",0.00950731873389685,0.0104844789019036,"less",37,"Dim.2"
"40","R606-4",0.922627459454637,0.224533754531381,"greater",37,"Dim.2"
"41","R607-1",-0.998084964102613,0.000931260094963304,"less",37,"Dim.2"
"42","R607-2",-0.594097254032036,0.00932083202263775,"less",37,"Dim.2"
"43","R607-3",-0.936669220886856,0.0021335579415354,"less",37,"Dim.2"
"44","R607-4",-1.04874423471634,7.26926912364549e-07,"less",37,"Dim.2"
"45","S606-1",-0.180550033686453,0.064050237980063,"less",37,"Dim.2"
"46","S606-2",-0.523460123706513,0.0398315337224596,"less",37,"Dim.2"
"47","S606-3",0.118265647785563,0.00371679088055133,"less",37,"Dim.2"
"48","S606-4",0.642762273428794,0.0759059817474288,"greater",37,"Dim.2"
"49","S607-1",-0.0513439817150846,7.63035582298529e-05,"less",37,"Dim.2"
"50","S607-2",-0.676339150378921,0.00125294613176307,"less",37,"Dim.2"
"51","S607-3",-0.0318594761247841,0.00446057953570341,"less",37,"Dim.2"
"52","S607-4",-0.0221544445339962,0.000506570705587046,"less",37,"Dim.2"
"53","606P",0.726979329594637,7.82665553070477e-05,"greater",37,"Dim.3"
"54","607P",-0.363449834435806,0.434582172015907,"less",37,"Dim.3"
"55","F606-1",0.822053911019357,0.0113000245019215,"greater",37,"Dim.3"
"56","F606-2",1.39026942925532,3.21106193389911e-05,"greater",37,"Dim.3"
"57","F606-3",0.755386336578922,0.00664242924687211,"greater",37,"Dim.3"
"58","F606-4",0.000911346487669173,0.0109804216299039,"greater",37,"Dim.3"
"59","F607-1",0.308160930718589,0.00615058446736808,"greater",37,"Dim.3"
"60","F607-2",0.126328888268681,0.149313239545596,"greater",37,"Dim.3"
"61","F607-3",-0.310963440077541,0.311155262684275,"less",37,"Dim.3"
"62","F607-4",-0.0513206775632051,0.29616226707109,"greater",37,"Dim.3"
"63","R606-1",0.529378333894196,0.00451895378668526,"greater",37,"Dim.3"
"64","R606-2",0.0803759718655098,0.0979283815892236,"greater",37,"Dim.3"
"65","R606-3",0.655614561836454,0.00218068015213796,"greater",37,"Dim.3"
"66","R606-4",0.664442529979453,0.0105729339187024,"greater",37,"Dim.3"
"67","R607-1",-0.251631249993663,0.4076490091888,"less",37,"Dim.3"
"68","R607-2",0.327594117643341,0.0970267693105124,"greater",37,"Dim.3"
"69","R607-3",0.102477670576411,0.387130655408102,"greater",37,"Dim.3"
"70","R607-4",0.154723136198269,0.00907019303302047,"greater",37,"Dim.3"
"71","S606-1",0.588013963384148,0.0148564176898633,"greater",37,"Dim.3"
"72","S606-2",0.0290020942136146,0.040331595231941,"greater",37,"Dim.3"
"73","S606-3",0.819316994544703,0.000368592384215815,"greater",37,"Dim.3"
"74","S606-4",1.03568651129798,0.00787303416982465,"greater",37,"Dim.3"
"75","S607-1",0.199073905111968,0.00320741599904179,"greater",37,"Dim.3"
"76","S607-2",-0.45652739375718,0.424669964512762,"less",37,"Dim.3"
"77","S607-3",0.69219041058344,0.00137437669735346,"greater",37,"Dim.3"
"78","S607-4",0.855909590408994,0.00048671008256935,"greater",37,"Dim.3"
"79","606P",0.0125931391255515,0.124295930802712,"less",37,"Dim.4"
"80","607P",0.542144873400982,0.0549371754682407,"greater",37,"Dim.4"
"81","F606-1",-0.408418853773088,0.0296793848474042,"less",37,"Dim.4"
"82","F606-2",0.336657637056127,0.00482927598045263,"greater",37,"Dim.4"
"83","F606-3",0.480996110992181,0.169846665309709,"greater",37,"Dim.4"
"84","F606-4",-0.214668824038687,0.106635983111745,"less",37,"Dim.4"
"85","F607-1",-0.35602387218007,0.108751405983188,"less",37,"Dim.4"
"86","F607-2",-0.263779321803174,0.106922505298178,"less",37,"Dim.4"
"87","F607-3",0.028343516170135,0.0933571672364564,"less",37,"Dim.4"
"88","F607-4",-0.287772414487504,0.236618562125686,"less",37,"Dim.4"
"89","R606-1",-0.531734033223969,0.000115580132663852,"less",37,"Dim.4"
"90","R606-2",0.723049666249398,0.000272180286487349,"greater",37,"Dim.4"
"91","R606-3",0.0724042237028245,0.468246293820679,"greater",37,"Dim.4"
"92","R606-4",0.116761718026605,0.103173890575886,"greater",37,"Dim.4"
"93","R607-1",-0.0623544777713748,0.0456178370970119,"less",37,"Dim.4"
"94","R607-2",0.437259455819588,0.0463931037682016,"greater",37,"Dim.4"
"95","R607-3",0.257603586056755,0.395578967967463,"greater",37,"Dim.4"
"96","R607-4",0.011335829592552,0.260565947324455,"less",37,"Dim.4"
"97","S606-1",0.284607923251262,0.32560488807581,"greater",37,"Dim.4"
"98","S606-2",0.0308280247376831,0.268785606839783,"less",37,"Dim.4"
"99","S606-3",-0.469523550727063,0.0250864269950885,"less",37,"Dim.4"
"100","S606-4",0.168126716498531,0.182354145039891,"greater",37,"Dim.4"
"101","S607-1",-0.521990432023579,0.0557278639568203,"less",37,"Dim.4"
"102","S607-2",-0.305421724910519,0.0727743445544209,"less",37,"Dim.4"
"103","S607-3",-0.229920792381446,0.00210408857546653,"less",37,"Dim.4"
"104","S607-4",-0.0828399156084154,0.00344071701429418,"less",37,"Dim.4"
