"","clone","median","pval","logi_test","referencia","PC"
"72","S606-2",0.611671988428183,0.00914191031909362,"greater",15,"Dim.3"
"73","S606-3",0.317959249404024,0.0014727574865949,"greater",15,"Dim.3"
"74","S606-4",-0.0612305195092114,0.228109527045832,"greater",15,"Dim.3"
"75","S607-1",0.266444069290205,0.227923017837618,"less",15,"Dim.3"
"76","S607-2",0.243961393208472,0.434934647333968,"less",15,"Dim.3"
"77","S607-3",0.538420396296234,0.0124979014656516,"greater",15,"Dim.3"
"78","S607-4",-0.120351761207668,0.00855538525199911,"less",15,"Dim.3"
"79","606P",-0.115405360952442,1,"two.sided",15,"Dim.4"
"80","607P",0.174521301219131,1,"two.sided",15,"Dim.4"
"81","F606-1",-0.245285904067919,0.0301209321630358,"less",15,"Dim.4"
"82","F606-2",-0.295458563957456,0.0439449915908499,"less",15,"Dim.4"
"83","F606-3",-0.157076021321838,0.26854469672723,"less",15,"Dim.4"
"84","F606-4",-0.159096717068024,0.523595047433713,"less",15,"Dim.4"
"85","F607-1",0.461824542882896,0.00921503398713393,"greater",15,"Dim.4"
"86","F607-2",0.233902337002151,0.0209184781516023,"greater",15,"Dim.4"
"87","F607-3",0.277546333724867,0.390305040889094,"greater",15,"Dim.4"
"88","F607-4",0.287952121276089,0.0809800911734812,"greater",15,"Dim.4"
"89","R606-1",-0.166803105754826,0.624731245645026,"less",15,"Dim.4"
"90","R606-2",0.180477713411648,0.000316502731734045,"greater",15,"Dim.4"
"91","R606-3",0.45350507251098,1.25588507851952e-05,"greater",15,"Dim.4"
"92","R606-4",-0.144101646942203,0.223420195509437,"less",15,"Dim.4"
"93","R607-1",0.0947653743309004,0.00819347064675493,"less",15,"Dim.4"
"94","R607-2",0.0599881188753614,0.0881172017906812,"less",15,"Dim.4"
"95","R607-3",0.132679465002191,0.133687504903861,"less",15,"Dim.4"
"96","R607-4",0.0472210385576701,0.0665456721212737,"less",15,"Dim.4"
"97","S606-1",0.224162487675244,0.000129923445451707,"greater",15,"Dim.4"
"98","S606-2",-0.394414146489453,0.0109053296515194,"less",15,"Dim.4"
"99","S606-3",-0.179076418732708,0.45088835993435,"less",15,"Dim.4"
"100","S606-4",-0.0273368824553537,0.159610650631999,"greater",15,"Dim.4"
"101","S607-1",0.364231595288539,0.00280595464570938,"greater",15,"Dim.4"
"102","S607-2",0.329999010340232,0.148540189644249,"greater",15,"Dim.4"
"103","S607-3",-0.144555362398968,3.55376731767924e-05,"less",15,"Dim.4"
"104","S607-4",0.136794077526646,0.512423616776001,"less",15,"Dim.4"
