Nickname,Name,Strain,Treatment,Condition,Well2,Well3,Well4,Well5,Well6,Well7,Well8,Well9,Well10,Well11,Well12,Well13,Well14,Well15,Well16,Well17,Well18,Well19,Well20,Well21,Well22,Well23,Well24,Well25,Well26,Well27,Well28,Well29,Well30,Well31,Well32,Well33,Well34,Well35,Well36,Well37,Well38,Well39,Well40,Well41,Well42,Well43,Well44,Well45,Well46,Well47,Well48,Well49,Well50,Well51,Well52,Well53,Well54,Well55,Well56,Well57,Well58,Well59,Well60,Well61,Well62,Well63,Well64,Well65,Well66,Well67,Well68,Well69,Well70,Well71,Well72,Well74,Well75,Well76,Well77,Well78,Well79,Well80,Well81,Well82,Well83,Well84,Well85,Well87,Well88,Well89,Well90,Well91,Well92,Well93,Well95,Well96
Aegon.15.1,R607-4,607,Random,15,-0.189690476,-0.114615079,-0.086166667,-0.05177381,-0.092376984,-0.101813492,-0.029003968,-0.16815873,0.028678571,-0.141035714,-0.046924603,-0.147900794,-0.08290873,-0.184543651,-0.052734127,-0.030924603,0.007015873,-0.065547619,-0.066825397,-0.185638889,-0.342027778,0.025825397,-0.017496032,-0.075063492,-0.094702381,-0.113686508,0.001674603,0.024559524,-0.1315,-0.133123016,-0.080654762,-0.092797619,0.011210317,-0.059337302,-0.119753968,-0.231916667,-0.097861111,-0.04747619,-0.018162698,-0.050055556,-0.218845238,-0.037373016,-0.206238095,-0.062984127,-0.316380952,-0.258269841,-0.192992063,-0.056730159,-0.317003968,-0.06797619,-0.231444444,-0.04802381,-0.149444444,-0.092797619,-0.046789683,-0.054190476,-0.198337302,-0.101178571,-0.051055556,-0.041984127,-0.025396825,-0.139420635,-0.020539683,-0.069107143,-0.044269841,-0.057746032,-0.058940476,-0.075083333,0.003563492,-0.100555556,-0.096670635,0.180884921,0.109634921,0.08122619,-0.244865079,0.16018254,0.128674603,-0.313206349,-0.029789683,0.128412698,0.374186508,-0.00077381,0.18084127,0.01468254,0.432388889,0.211920635,0.148297619,-0.181313492,0.067420635,-0.186392857,0.118698413,-0.086654762
Aegon.15.2,R607-4,607,Random,15,-0.173690476,-0.149615079,-0.163166667,-0.01177381,-0.082376984,-0.079813492,-0.023003968,-0.18515873,-0.081321429,-0.221035714,-0.122924603,-0.162900794,-0.10090873,-0.132543651,-0.038734127,-0.108924603,-0.092984127,-0.122547619,-0.060825397,-0.191638889,-0.340027778,-0.147174603,-0.007496032,-0.110063492,-0.114702381,-0.213686508,-0.012325397,0.087559524,-0.0235,-0.182123016,-0.092654762,-0.098797619,-0.008789683,-0.062337302,-0.205753968,-0.246916667,-0.103861111,-0.04247619,0.031837302,-0.046055556,-0.213845238,-0.040373016,-0.195238095,-0.094984127,-0.338380952,-0.253269841,-0.158992063,-0.012730159,-0.344003968,-0.06197619,-0.213444444,-0.04502381,-0.145444444,-0.109797619,0.056210317,-0.113190476,-0.196337302,-0.097178571,-0.041055556,-0.021984127,-0.022396825,-0.223420635,-0.126539683,-0.074107143,-0.066269841,-0.189746032,-0.068940476,-0.076083333,-0.036436508,-0.141555556,-0.092670635,0.251884921,0.123634921,0.17322619,-0.030865079,0.29718254,0.231674603,-0.142206349,0.089210317,0.263412698,0.478186508,0.13522619,0.23284127,0.17968254,0.438388889,0.300920635,0.242297619,-0.025313492,0.170420635,-0.049392857,0.216698413,0.025345238
Aegon.15.3,R607-4,607,Random,15,-0.217690476,-0.167615079,-0.122166667,-0.04877381,-0.097376984,-0.146813492,-0.078003968,-0.20315873,-0.024321429,-0.178035714,-0.074924603,-0.178900794,-0.12790873,-0.193543651,-0.068734127,-0.080924603,-0.081984127,-0.074547619,-0.074825397,-0.212638889,-0.330027778,-0.130174603,-0.083496032,-0.101063492,-0.058702381,-0.141686508,-0.037325397,-0.046440476,-0.1055,-0.186123016,-0.104654762,-0.109797619,0.001210317,-0.086337302,-0.179753968,-0.250916667,-0.141861111,-0.05747619,0.009837302,-0.056055556,-0.229845238,-0.058373016,-0.249238095,-0.156984127,-0.342380952,-0.264269841,-0.209992063,-0.080730159,-0.360003968,-0.07597619,-0.291444444,-0.07102381,-0.153444444,-0.099797619,-0.001789683,-0.099190476,-0.218337302,-0.149178571,-0.078055556,-0.063984127,-0.049396825,-0.177420635,-0.003539683,-0.088107143,-0.088269841,-0.106746032,-0.073940476,-0.082083333,-0.088436508,-0.121555556,-0.112670635,0.083884921,0.063634921,0.04322619,-0.263865079,0.14718254,0.087674603,-0.272206349,-0.049789683,0.177412698,0.355186508,0.01322619,0.06284127,0.00268254,0.452388889,0.174920635,0.064297619,-0.206313492,0.041420635,-0.298392857,0.080698413,-0.076654762
Aegon.37.1,R607-4,607,Random,37,0.243309524,-0.123615079,-0.154166667,-0.01477381,-0.035376984,0.345186508,-0.022003968,0.00084127,-0.052321429,-0.018035714,-0.084924603,0.062099206,0.00509127,0.100456349,0.021265873,-0.042924603,-0.046984127,0.041452381,0.020174603,0.181361111,0.022972222,0.116825397,0.092503968,-0.058063492,-0.049702381,-0.009686508,0.002674603,0.131559524,0.0425,0.051876984,0.030345238,0.017202381,0.015210317,0.033662698,0.120246032,0.123083333,-0.022861111,0.02652381,0.180837302,0.050944444,-0.069845238,0.032626984,0.112761905,0.014015873,-0.049380952,0.079730159,0.181007937,0.023269841,0.074996032,0.00702381,0.159555556,0.04397619,0.012555556,-0.053797619,0.164210317,-0.009190476,-0.040337302,-0.164178571,0.065944444,0.032015873,0.030603175,0.048579365,0.134460317,0.017892857,-0.079269841,0.086253968,0.066059524,0.107916667,0.100563492,0.009444444,0.016329365,0.030884921,0.027634921,-0.28677381,-0.048865079,-0.16181746,-0.049325397,-0.212206349,-0.066789683,-0.262587302,0.103186508,-0.09477381,-0.28115873,-0.12031746,-0.228611111,-0.194079365,-0.272702381,-0.369313492,-0.109579365,-0.301392857,-0.089301587,-0.103654762
Aegon.37.2,R607-4,607,Random,37,0.240309524,-0.079615079,-0.102166667,0.00222619,-0.015376984,0.343186508,0.028996032,0.01484127,-0.086321429,-0.039035714,-0.058924603,0.100099206,0.00809127,0.070456349,0.008265873,-0.066924603,0.028015873,-0.026547619,0.017174603,0.190361111,0.107972222,0.043825397,0.062503968,-0.075063492,-0.070702381,-0.021686508,-0.008325397,0.133559524,-0.0695,0.057876984,-0.030654762,0.022202381,0.005210317,0.027662698,0.096246032,0.089083333,-0.035861111,0.02752381,0.128837302,0.039944444,-0.083845238,-0.014373016,0.102761905,0.011015873,-0.115380952,0.064730159,0.225007937,0.042269841,0.083996032,0.00402381,0.140555556,0.02697619,0.005555556,-0.014797619,0.197210317,0.014809524,-0.089337302,-0.166178571,0.033944444,0.006015873,0.032603175,0.031579365,0.097460317,0.015892857,-0.102269841,-0.026746032,0.041059524,0.121916667,0.101563492,0.046444444,0.007329365,0.115884921,0.034634921,-0.24477381,0.081134921,-0.05581746,0.062674603,-0.047206349,0.027210317,0.023412698,0.246186508,-0.00277381,-0.07915873,-0.03831746,-0.049611111,-0.106079365,-0.036702381,-0.203313492,0.000420635,-0.266392857,0.050698413,0.020345238
Aegon.37.3,R607-4,607,Random,37,0.243309524,-0.095615079,-0.130166667,-0.01877381,-0.040376984,0.400186508,-3.97E-06,-0.04515873,-0.070321429,-0.086035714,-0.071924603,0.088099206,0.05209127,0.090456349,-0.002734127,-0.081924603,-0.087984127,-0.029547619,-0.016825397,0.153361111,0.068972222,0.060825397,0.023503968,-0.064063492,-0.098702381,-0.044686508,-0.037325397,0.139559524,0.0125,0.044876984,-0.018654762,-0.000797619,-0.008789683,0.005662698,0.079246032,0.078083333,-0.008861111,-0.00147619,0.151837302,0.000944444,-0.103845238,0.014626984,0.105761905,0.043015873,-0.142380952,0.103730159,0.215007937,-0.014730159,0.085996032,-0.02597619,0.162555556,-0.00902381,0.016555556,-0.029797619,0.267210317,-0.014190476,-0.116337302,-0.189178571,0.016944444,-0.013984127,-0.001396825,0.078579365,0.122460317,-0.006107143,-0.106269841,-0.037746032,0.045059524,0.114916667,0.160563492,-0.008555556,-0.000670635,0.145884921,0.077634921,-0.16677381,0.068134921,-0.06781746,0.075674603,-0.076206349,0.000210317,0.089412698,0.246186508,-0.02977381,-0.10315873,-0.02431746,-0.063611111,-0.019079365,-0.076702381,-0.144313492,0.043420635,-0.262392857,0.078698413,0.054345238
Aegon.43.1,R607-4,607,Random,43,-0.090690476,0.022384921,0.095833333,0.00622619,-0.003376984,-0.299813492,0.017996032,0.18584127,-0.018321429,0.117964286,0.039075397,0.011099206,-0.09390873,-0.074543651,-0.077734127,-0.018924603,0.028015873,0.003452381,0.022174603,0.048361111,0.095972222,0.054825397,0.002503968,-0.031063492,0.124297619,0.106313492,-0.010325397,-0.026440476,0.0475,0.099876984,-0.110654762,0.055202381,0.001210317,0.017662698,0.076246032,0.112083333,-0.125861111,0.00552381,-0.195162698,-0.030055556,-0.065845238,-0.047373016,0.021761905,0.087015873,0.305619048,-0.026269841,-0.256992063,0.013269841,0.212996032,-0.00197619,0.073555556,0.00797619,-0.069444444,-0.129797619,-0.414789683,0.102809524,-0.013337302,0.152821429,-0.015055556,0.021015873,-0.006396825,0.084579365,-0.171539683,0.026892857,-0.038269841,0.036253968,-0.078940476,-0.018083333,0.206563492,0.058444444,-0.048670635,-0.130115079,-0.010365079,-0.16577381,-0.043865079,-0.14581746,-0.403325397,-0.055206349,-0.088789683,-0.005587302,-0.491813492,-0.08277381,-0.28815873,-0.21031746,-0.403611111,0.049920635,-0.095702381,-0.046313492,-0.276579365,0.046607143,-0.299301587,-0.106654762
Aegon.43.2,R607-4,607,Random,43,-0.035690476,0.033384921,0.101833333,0.04222619,0.004623016,-0.284813492,0.046996032,0.20184127,0.019678571,0.199964286,0.034075397,0.012099206,-0.10690873,-0.017543651,-0.058734127,-0.008924603,0.042015873,0.023452381,0.040174603,0.072361111,0.136972222,0.104825397,-0.027496032,0.007936508,0.147297619,0.132313492,0.009674603,-0.009440476,-0.0895,0.117876984,-0.088654762,0.057202381,0.025210317,0.030662698,0.103246032,0.147083333,-0.008861111,0.01952381,-0.237162698,-0.022055556,-0.069845238,-0.037373016,0.018761905,0.114015873,0.276619048,-0.046269841,-0.298992063,0.022269841,0.223996032,0.01902381,0.069555556,0.01497619,-0.053444444,-0.099797619,-0.443789683,0.114809524,-0.005337302,0.142821429,0.007944444,0.045015873,0.014603175,0.116579365,-0.098539683,0.019892857,-0.026269841,-0.001746032,-0.072940476,-0.012083333,0.268563492,0.037444444,-0.058670635,0.030884921,-0.065365079,-0.17877381,-0.029865079,-0.12181746,-0.448325397,-0.057206349,-0.034789683,-0.001587302,-0.469813492,-0.10077381,-0.31415873,-0.11731746,-0.310611111,0.094920635,-0.105702381,-0.058313492,-0.280579365,0.154607143,-0.201301587,-0.085654762
Aegon.43.3,R607-4,607,Random,43,-0.033690476,0.065384921,0.113833333,0.03822619,0.007623016,-0.258813492,0.046996032,0.20284127,0.065678571,0.188964286,0.124075397,0.036099206,-0.06590873,-0.023543651,-0.044734127,0.015075397,0.091015873,0.050452381,0.065174603,0.039361111,0.195972222,0.090825397,0.027503968,0.055936508,0.170297619,0.128313492,0.034674603,0.028559524,0.1305,0.144876984,-0.049654762,0.076202381,0.057210317,0.058662698,0.174246032,0.143083333,-0.076861111,0.03852381,-0.192162698,0.006944444,0.006154762,-0.016373016,0.060761905,0.157015873,0.336619048,-0.029269841,-0.129992063,0.051269841,0.256996032,0.04402381,0.118555556,0.04797619,-0.022444444,-0.065797619,-0.339789683,0.127809524,0.037662698,0.157821429,-0.009055556,0.077015873,0.057603175,0.119579365,-0.186539683,0.048892857,0.010730159,0.038253968,-0.032940476,0.007916667,0.269563492,0.073444444,-0.037670635,-0.295115079,-0.296365079,-0.23977381,-0.017865079,-0.25781746,-0.613325397,-0.096206349,-0.427789683,-0.038587302,-0.527813492,-0.20577381,-0.38315873,-0.16631746,-0.128611111,0.003920635,-0.162702381,-0.059313492,-0.385579365,0.181607143,-0.236301587,-0.123654762
Aeris.15.1,R607-1,607,Random,15,-0.179690476,-0.069615079,-0.084166667,-0.00577381,-0.045376984,-0.178813492,-0.039003968,-0.14515873,0.022678571,-0.052035714,-0.033924603,-0.156900794,-0.10090873,-0.215543651,-0.030734127,-0.019924603,-0.031984127,-0.014547619,-0.038825397,-0.232638889,-0.345027778,-0.064174603,-0.156496032,-0.084063492,-0.071702381,-0.072686508,0.033674603,-0.027440476,-0.0875,-0.188123016,-0.061654762,-0.062797619,0.018210317,-0.042337302,-0.126753968,-0.236916667,-0.110861111,-0.03647619,-0.036162698,-0.032055556,-0.144845238,-0.004373016,-0.239238095,-0.145984127,-0.290380952,-0.226269841,-0.194992063,-0.026730159,-0.310003968,-0.02197619,-0.240444444,-0.02302381,-0.168444444,-0.079797619,0.068210317,-0.053190476,-0.176337302,-0.092178571,-0.018055556,-0.014984127,-0.009396825,-0.291420635,0.004460317,-0.033107143,-0.070269841,-0.056746032,-0.378940476,-0.110083333,-0.037436508,-0.093555556,-0.067670635,0.169884921,0.148634921,0.23622619,-0.127865079,-0.13681746,0.172674603,-0.205206349,-0.047789683,0.426412698,0.385186508,0.07522619,0.31884127,0.37168254,0.613388889,0.180920635,0.216297619,0.148686508,0.106420635,-0.053392857,0.156698413,-0.083654762
