"","X.x","clone.x","median","pvaltest","logi_test","referencia","PC","PCdir","comparison","Name","X.y","Merged","Nickname","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","clone.y"
"22",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-37","606Fast37","Nymeria.37.1",606,"Fast","37","Specialist",0.211012992376948,-0.0326031025335589,-1.46366638093088,-0.19226918163952,0.0519702449668625,"F606-3"
"23",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-37-1","606Fast37","Nymeria.37.2",606,"Fast","37","Specialist",0.373863096358998,0.143429823351589,-1.29895916043322,-0.182495883224282,0.0534326197296237,"F606-3"
"24",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-37-2","606Fast37","Nymeria.37.3",606,"Fast","37","Specialist",0.305296081442001,0.186949344194028,-1.26957238463301,0.0119529360111539,0.0970607278371038,"F606-3"
"25",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-43","606Fast43","Nymeria.43.1",606,"Fast","43","Specialist",0.832934491175242,1.08680385151717,1.08680553286297,0.492435028117031,0.569191662837674,"F606-3"
"26",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-43-1","606Fast43","Nymeria.43.2",606,"Fast","43","Specialist",0.719976571350332,1.13915154091118,0.505423961099574,0.480996110992181,1.3959997426284,"F606-3"
"27",5,"F606-3",-1.80732446047762,0.186128938322642,"equal",15,"Dim.1","less","Unrestored","F606-3","F606-3-43-2","606Fast43","Nymeria.43.3",606,"Fast","43","Specialist",0.861495594765642,1.0317453643349,0.755386336578922,-0.0935600905974571,0.277495499587781,"F606-3"
"28",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-15","606Fast15","Stannis.15.1",606,"Fast","15","Generalist",-1.82684516165184,-0.810290871014108,0.141913539145012,-0.204980452095239,0.251230272086482,"F606-4"
"29",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-15-1","606Fast15","Stannis.15.2",606,"Fast","15","Generalist",-1.87850840335918,-0.408584576800559,0.428682510262851,-0.159096717068024,0.193429858024734,"F606-4"
"30",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-15-2","606Fast15","Stannis.15.3",606,"Fast","15","Generalist",-1.77949644157389,-0.217488282788742,0.52046979374511,-0.0208254486504585,0.110436265722668,"F606-4"
"31",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-37","606Fast37","Stannis.37.1",606,"Fast","37","Generalist",0.139030865232359,0.30260521456075,-0.874188611724739,0.0587633443366154,0.100143495179117,"F606-4"
"32",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-37-1","606Fast37","Stannis.37.2",606,"Fast","37","Generalist",0.0262274882649145,0.72436453322846,-0.356083375214348,-0.104128698891572,0.0965231822041671,"F606-4"
"33",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-37-2","606Fast37","Stannis.37.3",606,"Fast","37","Generalist",0.270998313422932,0.685985982999181,-0.399531346785915,-0.00343500850231464,0.157899622187937,"F606-4"
"34",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-43","606Fast43","Stannis.43.1",606,"Fast","43","Generalist",1.42555037045129,-0.311842600683772,0.255506426534983,0.0762127865351102,-0.220646939046639,"F606-4"
"35",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-43-1","606Fast43","Stannis.43.2",606,"Fast","43","Generalist",1.54427730332497,-0.319119134539873,0.000911346487669173,-0.282551855486732,-0.391895253037242,"F606-4"
"36",6,"F606-4",-1.82684516165184,0.276978906701723,"equal",15,"Dim.1","less","Unrestored","F606-4","F606-4-43-2","606Fast43","Stannis.43.3",606,"Fast","43","Generalist",1.68740366260245,-0.45533649367042,-0.0956716842847913,-0.214668824038687,-0.205958826785153,"F606-4"
"37",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-15","607Fast15","Viserion.15.1",607,"Fast","15","Generalist",-1.42140236102669,0.0747800515726204,0.310956459718976,0.461824542882896,-0.196397549251428,"F607-1"
"38",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-15-1","607Fast15","Viserion.15.2",607,"Fast","15","Generalist",-1.53326373942489,0.112577158333664,0.354829351447073,0.414506718252726,-0.283091470920337,"F607-1"
"39",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-15-2","607Fast15","Viserion.15.3",607,"Fast","15","Generalist",-1.26166499664411,-0.00822072594896351,0.251534892578516,0.594960619058769,-0.228991708353124,"F607-1"
"40",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-37","607Fast37","Viserion.37.1",607,"Fast","37","Generalist",-0.0464223834379675,0.268716079419771,-0.498551030813573,-0.160509884909996,-0.196606375073209,"F607-1"
"41",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-37-1","607Fast37","Viserion.37.2",607,"Fast","37","Generalist",0.225954421059083,0.317219540799481,-0.618512709167251,0.0853230355946636,-0.0353142552242538,"F607-1"
"42",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-37-2","607Fast37","Viserion.37.3",607,"Fast","37","Generalist",0.0545702605880214,0.244646059784844,-0.624323691340131,-0.0858075934640918,-0.0991103826390264,"F607-1"
"43",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-43","607Fast43","Viserion.43.1",607,"Fast","43","Generalist",1.44736481059158,-0.652769098114752,0.205251412190191,-0.881231319029301,-0.467499030081069,"F607-1"
"44",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-43-1","607Fast43","Viserion.43.2",607,"Fast","43","Generalist",1.1718225819264,-0.373250744447297,0.571211783377386,-0.35602387218007,-0.328488859779288,"F607-1"
"45",7,"F607-1",-1.42140236102669,0.17596401944172,"equal",15,"Dim.1","less","Unrestored","F607-1","F607-1-43-2","607Fast43","Viserion.43.3",607,"Fast","43","Generalist",1.30111964777813,-1.05529502387988,0.308160930718589,0.200208583391599,-0.333898542386587,"F607-1"
"46",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-15","607Fast15","Greywind.15.1",607,"Fast","15","Generalist",-1.36588237417173,-0.567759219316817,-0.0409466033062404,0.225133039151031,-0.173204246427838,"F607-2"
"47",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-15-1","607Fast15","Greywind.15.2",607,"Fast","15","Generalist",-1.37810109871445,-0.671013156673838,-0.0974850781276245,0.289769867506916,-0.182703772776585,"F607-2"
"48",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-15-2","607Fast15","Greywind.15.3",607,"Fast","15","Generalist",-1.36315696150788,-0.639110346103447,-0.0438065962207334,0.233902337002151,-0.0999588595803415,"F607-2"
"49",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-37","607Fast37","Greywind.37.1",607,"Fast","37","Generalist",0.0224235426363083,0.490111417719675,-0.542409703006257,-0.186546842248451,-0.105899127096408,"F607-2"
"50",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-37-1","607Fast37","Greywind.37.2",607,"Fast","37","Generalist",0.206043571361409,0.64975169743704,-0.485566299679205,-0.0710591312943159,-0.0223967800382379,"F607-2"
"51",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-37-2","607Fast37","Greywind.37.3",607,"Fast","37","Generalist",0.314008153381782,0.961826958443706,-0.189782206962831,0.0255597758910217,-0.0513186116005492,"F607-2"
"52",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-43","607Fast43","Greywind.43.1",607,"Fast","43","Generalist",0.913694480314016,-0.438481556597225,0.283421946616004,-0.263779321803174,0.0967659539493654,"F607-2"
"53",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-43-1","607Fast43","Greywind.43.2",607,"Fast","43","Generalist",1.37474486381843,-0.791579150020846,-0.274370830788335,-1.99949284060314,-0.425208948892778,"F607-2"
"54",8,"F607-2",-1.36588237417173,0.011672771326151,"greater",15,"Dim.1","less","Partially Restored","F607-2","F607-2-43-2","607Fast43","Greywind.43.3",607,"Fast","43","Generalist",0.797907779340483,-0.685944290235467,0.126328888268681,-0.249768813587491,0.350680541452918,"F607-2"
